GEOID,NAME,year,percent_car,percent_pt
01001,"Autauga County, Alabama",2012,0.9573228281833477,0.0011490007796791004
01003,"Baldwin County, Alabama",2012,0.9383575413378902,0.0026888475649595417
01005,"Barbour County, Alabama",2012,0.9510567296996663,7.78642936596218e-4
01007,"Bibb County, Alabama",2012,0.968682763566818,0.009203920631125986
01009,"Blount County, Alabama",2012,0.95600640221482025,0.002984816368906
01011,"Bullock County, Alabama",2012,0.9421302070341732,0.001247193813918683
01013,"Butler County, Alabama",2012,0.9644543546694648,0.005246589716684155
01015,"Calhoun County, Alabama",2012,0.9513468819356804,0.0035249575699551764
01017,"Chambers County, Alabama",2012,0.968740157480315,7.874015748031496e-4
01019,"Cherokee County, Alabama",2012,0.9560099750623441,1.9950124688279303e-4
01021,"Chilton County, Alabama",2012,0.9675907628027779,0.0012986279713172605
01023,"Choctaw County, Alabama",2012,0.9459840300610616,4.697040864255519e-4
01025,"Clarke County, Alabama",2012,0.9655010560901197,0.002933583665806149
01027,"Clay County, Alabama",2012,0.9391147606649309,0.006208692169036651
01029,"Cleburne County, Alabama",2012,0.9344605194352449,0.0010458427749694963
01031,"Coffee County, Alabama",2012,0.9397753025700372,0.0012054583152514586
01033,"Colbert County, Alabama",2012,0.9596634043720845,0.002926918503612915
01035,"Conecuh County, Alabama",2012,0.9800478850758181,0
01037,"Coosa County, Alabama",2012,0.9574065309985802,0.003076194983435873
01039,"Covington County, Alabama",2012,0.9249241146711635,0.0014839797639123102
01041,"Crenshaw County, Alabama",2012,0.9150493701055499,0
01043,"Cullman County, Alabama",2012,0.9486685621694335,7.948882570546333e-4
01045,"Dale County, Alabama",2012,0.9306958213657,0.0028259056796071528
01047,"Dallas County, Alabama",2012,0.9377810007251631,0.0015228426395939086
01049,"DeKalb County, Alabama",2012,0.9531284143054848,8.01223687085731e-4
01051,"Elmore County, Alabama",2012,0.9542098787133064,0.0011132595066502607
01053,"Escambia County, Alabama",2012,0.9281118436730479,0.0059575820160457545
01055,"Etowah County, Alabama",2012,0.9582692110392942,0.0023340515030265724
01057,"Fayette County, Alabama",2012,0.9673930083085123,0.001254115065057219
01059,"Franklin County, Alabama",2012,0.9728436969603457,0.001620120351797562
01061,"Geneva County, Alabama",2012,0.9367337388862892,2.8076743097800656e-4
01063,"Greene County, Alabama",2012,0.8592906707787201,0.023901310717039322
01065,"Hale County, Alabama",2012,0.9536121673003802,7.604562737642585e-4
01067,"Henry County, Alabama",2012,0.9478822232719257,0.0045662100456621
01069,"Houston County, Alabama",2012,0.9548518290035872,0.003267301848424612
01071,"Jackson County, Alabama",2012,0.9619469026548673,0.001304145319049837
01073,"Jefferson County, Alabama",2012,0.9466225627944435,0.009868068589125423
01075,"Lamar County, Alabama",2012,0.9542215888849306,0.0024937655860349127
01077,"Lauderdale County, Alabama",2012,0.9614007578727296,8.885404416568666e-4
01079,"Lawrence County, Alabama",2012,0.9624850835322196,0.0018645584725536992
01081,"Lee County, Alabama",2012,0.9174411375555945,0.008656007396661938
01083,"Limestone County, Alabama",2012,0.9641019712122088,0.003092664315856408
01085,"Lowndes County, Alabama",2012,0.9347705914870094,0.008568269762299612
01087,"Macon County, Alabama",2012,0.902987012987013,0
01089,"Madison County, Alabama",2012,0.942931970213303,0.003931591568850183
01091,"Marengo County, Alabama",2012,0.9585766671193807,0.004481868803476844
01093,"Marion County, Alabama",2012,0.9487336780299711,0.005082814827797739
01095,"Marshall County, Alabama",2012,0.9470209383168504,0.0012934867552345792
01097,"Mobile County, Alabama",2012,0.9472733158715677,0.004997204155507814
01099,"Monroe County, Alabama",2012,0.9694847423711856,0
01101,"Montgomery County, Alabama",2012,0.9498166105612219,0.007938501733407025
01103,"Morgan County, Alabama",2012,0.9639571883135667,0.0019863079741587117
01105,"Perry County, Alabama",2012,0.9405940594059405,0.0024752475247524753
01107,"Pickens County, Alabama",2012,0.9377679231337768,0.0062084257206208426
01109,"Pike County, Alabama",2012,0.9389488840892729,0.006047516198704104
01111,"Randolph County, Alabama",2012,0.9255446492698108,0.0027531721331098876
01113,"Russell County, Alabama",2012,0.9475155559563532,0.004554062584543241
01115,"St. Clair County, Alabama",2012,0.9464896399114866,0.0014656435899646522
01117,"Shelby County, Alabama",2012,0.931855603493195,0.0011254924029262803
01119,"Sumter County, Alabama",2012,0.9558154645873944,0.005414771496642842
01121,"Talladega County, Alabama",2012,0.9419251406883916,0.006772673733804476
01123,"Tallapoosa County, Alabama",2012,0.9483162698902183,0.004687307265326261
