"GEOID","NAME","year","percent_white","percent_black","percent_asian","percent_native","labor_force_participation","percent_manufacturing","percent_edu_health_services","percent_unemployment","median_income_adj2024","percent_homeowner","median_home_value_adj2024","percent_family_households","percent_married","avg_household_size","percent_upper_edu","median_age","total_population","mean_commute_time","pop_density_sq_mile"
"01003","Baldwin County, Alabama",2008,0.86509897442659,0.0883518020626121,0.00726328401332271,0.00689639358171051,62.1,82277,3.8,2.7,76426.5675801208,23.5,77067.8379006038,71.4,1.2,2.5,0.294533985645814,38.5,174439,25.5,109.722106799344
"01015","Calhoun County, Alabama",2008,0.766838007741207,0.201280208783361,0.00812914943704318,0.0037207169874536,60.7,49804,11.3,5.4,58511.8996748723,25.2,50968.5740826753,65,2.8,2.37,0.15694625182381,39.2,113419,22.1,187.194298609386
"01043","Cullman County, Alabama",2008,0.967697112783434,0.010906989326644,0.00245929860803699,0.00746397127539226,56.8,34574,2.3,3.5,57303.8574082675,27,32751.530422666,70.3,2.1,2.57,0.134204422726227,38.9,81324,26.9,110.660292744604
"01049","DeKalb County, Alabama",2008,0.92946070203605,0.0140115303218273,0.000554623075238999,0.0164343574399766,55.5,27959,2.6,3.2,50187.0715281003,25.1,26769.7491871807,74.9,3.5,2.62,0.0797967341384589,37.2,68515,23.8,88.1682179189681
"01051","Elmore County, Alabama",2008,0.747407369472256,0.218382710675236,0.00113947712083579,0.00512124548690242,61.9,34299,10.4,4.5,79758.5438922434,21.9,28918.5160241523,71.8,3,2.79,0.162852686240054,36.1,78106,27.4,126.2853327842
"01055","Etowah County, Alabama",2008,0.819685778728594,0.144574697733851,0.00442387926778506,0.00376562152115621,55.9,42645,6.2,4,54985.6432884347,30.2,42652.5104505341,69.4,2,2.43,0.173935727681656,39.3,103303,25.2,192.969639756286
"01069","Houston County, Alabama",2008,0.712259361546584,0.252122085939404,0.00411217610267241,0.00449800990983673,62.2,44282,3.7,4,62295.2484904784,30.8,37265.2554575012,67.1,2.2,2.64,0.187182683245675,37.8,98488,20,169.857953088119
"01073","Jefferson County, Alabama",2008,0.55371090048112,0.40962815938669,0.0123562743459848,0.00170431370289445,64.2,309951,3.8,4.3,67640.1416627961,32.8,259252.882025081,63.5,1.3,2.44,0.278214828433885,38.2,659503,23.4,593.463886507241
"01081","Lee County, Alabama",2008,0.735643936546124,0.231178106909255,0.0198556499511315,0.00465378542966694,62.4,61939,3.9,3.6,61040.462145843,34.3,53755.6897352531,58.2,1.5,2.28,0.308649749457381,28.9,133010,20.2,218.927797233931
"01083","Limestone County, Alabama",2008,0.83990280422933,0.124252971695015,0.0106127273921324,0.00694818414658173,59.6,32606,7.7,5,66185.232234092,19.4,30591.0775661867,70.8,1.5,2.85,0.1933377385626,37.4,76135,27.1,135.970345411082
"01089","Madison County, Alabama",2008,0.707392569872617,0.240490125504679,0.022543895339739,0.00528308973115082,68.3,156828,8.1,4.4,80481.6163492801,28.9,132320.798885276,63.7,1.2,2.44,0.37497143836399,37.7,319510,20.9,398.593985185481
"01097","Mobile County, Alabama",2008,0.618009938248968,0.344085412826199,0.0185917614426459,0.00585761083313439,62.4,178309,4.3,4.9,59985.7988852764,31.3,160790.863910822,67.1,1.7,2.48,0.200548272482235,35.9,406309,24.8,330.495207387171
"01101","Montgomery County, Alabama",2008,0.429638361282861,0.535074062541702,0.0136337351541302,0.00363417997420044,64.3,103089,12.7,3.2,63625.9939619136,35.2,84292.7194612169,61.8,1.4,2.42,0.299656391543256,35.3,224810,19.4,286.64262188441
"01103","Morgan County, Alabama",2008,0.813149475245561,0.12341431023034,0.00218180563819971,0.00747678058624169,65.2,55229,3.5,4.8,67724.8653042267,30,46532.2689270785,69.6,2.3,2.5,0.197300394753597,38.6,115959,22.4,200.150218708904
"01117","Shelby County, Alabama",2008,0.859652579559494,0.0981979295360627,0.0161408852724407,0.00336024368423295,72,98932,2.9,2.6,104699.431026475,17.9,83541.8927078495,73.4,1.4,2.68,0.424312987184569,35.7,187784,29.7,239.229473180058
"01125","Tuscaloosa County, Alabama",2008,0.667836922116714,0.307832909812313,0.0117304177254692,0.00303709152512148,60.7,81186,3,3.5,63754.5401764979,36.4,63256.4235949837,61,1,2.49,0.267001948257895,32.9,179448,21.4,135.771749790673
"02020","Anchorage Municipality, Alaska",2008,0.701714993750962,0.0604097506472857,0.0628807167950495,0.0518795457719621,76.4,145033,10.2,4.4,110486.932187645,36.8,96565.9614491407,65.6,3.6,2.62,0.335073164060719,33.4,279243,18.5,163.798783699272
"02090","Fairbanks North Star Borough, Alaska",2008,0.781351434112483,0.0384811677043993,0.0269266101867919,0.0685822190466469,76.4,47116,10.6,3.7,100942.375754761,37.9,29556.8648397585,65,3.6,2.91,0.27973791217572,28.6,97970,18.2,13.3499237817543
"02170","Matanuska-Susitna Borough, Alaska",2008,0.862283226848276,0.0162067916403379,0.0137494441714058,0.0406047415104496,67.8,37588,6.3,9.9,106585.262424524,19.4,25240.3413841152,73.9,3.7,3.92,0.194829895006501,33.1,85458,34.6,3.47274138250876
"04003","Cochise County, Arizona",2008,0.863696262189356,0.0458428290157047,0.0189526068554951,0.00940266344201045,55.2,49750,16.3,3.4,65075.0603808639,31.1,47998.8643752903,68.8,2.4,2.56,0.241134254389041,40,129006,19.3,20.9233130349971
"04005","Coconino County, Arizona",2008,0.629427962476081,0.01372143312746,0.0134102895191276,0.282448389053968,68.2,64621,7.1,3.3,69251.3516024152,38,42119.335810497,60.7,2.6,2.64,0.327319087249712,31.7,128558,17.7,6.90474267745262
"04013","Maricopa County, Arizona",2008,0.822170799661558,0.0431042548446138,0.0289318914337184,0.0185793853129952,67.1,1886532,4.1,3.6,82531.0520204366,32,1336258.35113795,65.4,2.9,2.91,0.272032097827383,34.1,3954598,25.7,429.875522498951
"04015","Mohave County, Arizona",2008,0.902196340960154,0.00811082071112334,0.00821271544367514,0.0135570941660171,52.4,74002,6.9,5.9,55954.1221551324,31.8,73601.472364143,66.6,2,2.61,0.117796096063947,43.5,196281,19.9,14.7457876775131
"04017","Navajo County, Arizona",2008,0.456326436496182,0.0146332378477611,0.00567592255913158,0.440948233812535,56.3,42311,10.7,5.7,60022.3176962378,28.5,38014.6214584301,77.7,4.8,3.06,0.126132716279764,31.8,112757,24.6,11.3318681956486
"04019","Pima County, Arizona",2008,0.795263522980817,0.034547804485691,0.0245124098583227,0.0329430899450405,62.7,458542,6,4.3,68069.6028797027,34,363034.960520204,61.4,2.2,2.62,0.282335076262502,37.1,1012018,24.7,110.157173689506
"04021","Pinal County, Arizona",2008,0.738488425027727,0.0352702863724828,0.0137304805057119,0.0530734705974012,57,134257,9.7,3,72351.068276823,27.1,124701.51416628,71.9,2,2.6,0.179678546735743,32.7,327301,32,60.9991777125858
"04025","Yavapai County, Arizona",2008,0.911467589778333,0.00817157997800495,0.00627833487236837,0.0195356909184559,57.1,93157,3.8,4.6,61065.2949372968,29.3,91402.2015791918,62,2.3,2.41,0.229272871037626,44.9,215503,22.6,26.5281664636731
"04027","Yuma County, Arizona",2008,0.738660573686973,0.0179547349245067,0.00990109200193493,0.0129630201418265,54,67545,10.1,4.8,56867.0924291686,30.8,70129.2638179285,76.2,3.9,2.73,0.133980292872119,35.3,194322,19.7,35.2415846374569
"05007","Benton County, Arkansas",2008,0.838091243189651,0.0147337111696879,0.022183983106997,0.0135849488300261,66.2,100964,2.6,2.2,73713.9503019043,30.7,76806.3632141198,71.4,1.5,2.72,0.264361304357679,33.6,209791,21.1,247.571036803432
"05045","Faulkner County, Arkansas",2008,0.863297229997285,0.105716933619164,0.00801325557230185,0.00556060024526553,66.3,50431,4.2,5.6,60139.1778913144,36.3,37785.2833255922,67.8,2.4,2.49,0.227902645369026,31,106823,23.9,164.878815018468
"05051","Garland County, Arkansas",2008,0.856707536038578,0.0793720822859488,0.00764376955830298,0.00615605602010978,53.8,38519,5.3,4.4,53933.901532745,28.6,39922.3641430562,63.8,1.7,2.45,0.184375180208754,42.7,97465,24.5,143.795663865356
"05069","Jefferson County, Arkansas",2008,0.436795835300422,0.526099549589782,0.0100417235527541,0.00155665854312072,58.9,31809,13.5,6.7,56855.4064096609,34.2,28062.515095216,73.4,4,2.53,0.174693829486576,36.3,78373,21.4,90.0067811795003
"05085","Lonoke County, Arkansas",2008,0.893903392454739,0.0641239863259393,0.00784878819002652,0.0074042279214508,66.5,29967,6.2,3.9,71086.0566651184,27.6,25588.0004644682,75.8,3.1,2.62,0.160745940580018,35.8,65233,25.6,84.6158415238254
"05119","Pulaski County, Arkansas",2008,0.60100266191079,0.334986743525028,0.0189306178127745,0.00193207483074441,68.7,184797,6.3,4.1,65685.6549001393,39.4,140359.319554111,61.3,2.1,2.34,0.309611870949006,37,376797,19.5,495.938422787608
"05125","Saline County, Arkansas",2008,0.917940310969463,0.0473989145597654,0.00883829384272317,0.0018226435459072,65.2,48153,3.7,3.1,70171.6256386437,23.9,42187.9911751045,74.3,2.2,2.56,0.216555045526375,37.7,98209,24,135.722228421205
"05131","Sebastian County, Arkansas",2008,0.83967155732208,0.0614603268070072,0.0318219736002748,0.00594566301912099,59.2,52519,3.1,3.3,56712.252670692,34.5,44723.8574082675,67.4,1.2,2.59,0.167605510660355,37.4,122274,17.3,229.885109837334
"05143","Washington County, Arkansas",2008,0.869552560481709,0.034493853516034,0.0218944551411368,0.0120325020556376,69.4,96801,2.7,3.7,61221.5954482118,42.5,60283.7923827218,62.7,2.4,2.66,0.27271958888363,31.7,195803,20.7,207.858690370343
"05145","White County, Arkansas",2008,0.907702585343042,0.0422072282717616,0.00458280446255595,0,59.1,32617,3.2,3.5,57038.0004644682,27.2,29843.1723176962,69.3,1.7,2.49,0.18470197532994,36,74845,22.5,72.3091469454768
